start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-07-26 0:00,2018-07-26 0:10,수동적 여가|웹서핑,기타|숙소,가평군 가평읍,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,긍정,보통,보통,보통
2018-07-26 0:10,2018-07-26 2:30,사교|노가리,기타|숙소,가평군 가평읍,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱","기타|술, 치킨",적음,야식,아니오,매우 긍정,보통,보통,보통
2018-07-26 2:30,2018-07-26 2:50,야외활동|산책,야외,가평군 가평읍,실외,혼자,/,/,/,아니오,긍정,높음,낮음,보통
2018-07-26 2:50,2018-07-26 3:40,사교|노가리,기타|숙소,가평군 가평읍,실내,"친밀한 관계|한순, 대광, 성욱",/,/,/,아니오,긍정,높음,보통,보통
2018-07-26 3:40,2018-07-26 4:00,수동적 여가|유튜브 시청,기타|숙소,가평군 가평읍,실내,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-07-26 4:00,2018-07-26 8:10,수면,기타|숙소,가평군 가평읍,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-07-26 8:10,2018-07-26 8:30,야외활동|산책,야외,가평군 가평읍,실외,혼자,/,/,/,아니오,보통,보통,보통,보통
2018-07-26 8:30,2018-07-26 8:50,식사,기타|숙소,가평군 가평읍,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",기타|컵라면,매우 적음,아침,아니오,보통,보통,보통,보통
2018-07-26 8:50,2018-07-26 9:00,기타|외출 준비,기타|숙소,가평군 가평읍,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,보통,보통,보통,보통
2018-07-26 9:00,2018-07-26 9:10,이동,야외,가평군 가평읍,실외,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,보통,보통,보통,보통
2018-07-26 9:10,2018-07-26 11:00,사교|물놀이,기타|계곡,가평군 가평읍,실외,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,긍정,보통,높음,보통
2018-07-26 11:00,2018-07-26 11:10,이동,야외,가평군 가평읍,실외,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,긍정,높음,높음,보통
2018-07-26 11:10,2018-07-26 11:40,기타|휴식,기타|숙소,가평군 가평읍,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,긍정,높음,보통,보통
2018-07-26 11:40,2018-07-26 12:00,기타|짐싸기,기타|숙소,가평군 가평읍,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,긍정,보통,보통,보통
2018-07-26 12:00,2018-07-26 13:30,이동,대중교통,가평군 가평읍,실외,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,긍정,보통,높음,보통
2018-07-26 13:30,2018-07-26 13:50,기타|짐풀기,기타|숙소,가평군 청평면,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,긍정,보통,보통,보통
2018-07-26 13:50,2018-07-26 14:10,식사,기타|숙소,가평군 청평면,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",기타|라면,적음,점심,아니오,긍정,보통,보통,보통
2018-07-26 14:10,2018-07-26 14:30,이동,야외,가평군 청평면,실외,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,긍정,보통,높음,보통
2018-07-26 14:30,2018-07-26 17:30,사교|수상레저,기타|청평호수,가평군 청평면,실외,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,매우 긍정,보통,높음,높음
2018-07-26 17:30,2018-07-26 17:50,기타|휴식,기타|청평호수,가평군 청평면,실외,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,매우 긍정,높음,높음,높음
2018-07-26 17:50,2018-07-26 19:00,사교|수상레저,기타|청평호수,가평군 청평면,실외,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,매우 긍정,높음,높음,높음
2018-07-26 19:00,2018-07-26 20:00,식사,식당|청평호수,가평군 청평면,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",일식|돈까스,많음,저녁,아니오,매우 긍정,매우 높음,보통,보통
2018-07-26 20:00,2018-07-26 20:20,이동,야외,가평군 청평면,실외,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,긍정,매우 높음,보통,보통
2018-07-26 20:20,2018-07-26 20:50,기타|샤워,기타|숙소,가평군 청평면,실내,혼자,/,/,/,아니오,긍정,매우 높음,보통,보통
2018-07-26 20:50,2018-07-26 22:00,사교|노가리,기타|숙소,가평군 청평면,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,긍정,매우 높음,보통,보통
2018-07-26 22:00,2018-07-26 22:20,능동적 여가|운동,기타|숙소,가평군 청평면,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,긍정,매우 높음,보통,보통
2018-07-26 22:20,2018-07-26 22:50,사교|노가리,기타|숙소,가평군 청평면,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,긍정,매우 높음,보통,보통
2018-07-26 22:50,2018-07-26 23:20,수동적 여가|유튜브 시청,기타|숙소,가평군 청평면,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,긍정,높음,보통,보통
2018-07-26 23:20,2018-07-26 23:30,수동적 여가|웹서핑,기타|숙소,가평군 청평면,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,보통,높음,보통,보통
2018-07-26 23:30,2018-07-26 23:40,야외활동|산책,야외,가평군 청평면,실외,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,긍정,높음,낮음,보통
2018-07-26 23:40,2018-07-26 23:59,사교|노가리,기타|숙소,가평군 청평면,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,긍정,높음,보통,보통
